Album,Artist,Genre,Label,Producer,Release Date,Meta Score
24K Magic,Bruno Mars,"['funk', 'pop']",['atlantic'],"['shampoo press & curl', 'jeff bhasker', 'the stereotypes', 'emile haynie']",Nov 18 2016,70.0
The Boy Who Died Wolf,Highly Suspect,"['pop rock', 'alternative rock']",['300 entertainment'],['joel hamilton'],Nov 18 2016,64.0
DNCE,DNCE,['pop'],['republic'],"['rami yacoub', 'ozgo', 'kristoffer fogelmark', 'ilya salmanzadeh', 'aaron z', 'sir nolan', 'albin nedler', 'mattman & robin']",Nov 18 2016,77.0
Jessica Rabbit,Sleigh Bells,"['pop rock', 'noise pop', 'electronica', 'industrial rock']","['omnian', 'torn clean']",['sleigh bells'],Nov 11 2016,72.0
57th & 9th,Sting,"['pop rock', 'adult contemporary']","['interscope', 'cherrytree', 'a&m']",['martin kierszenbaum'],Nov 11 2016,67.0
Long Live the Angels,Emeli Sandé,"['gospel', 'pop rock', 'trip hop', 'pop']","['emi', 'capitol', 'virgin']","['mac & phil', 'shakaveli', 'tms', 'producerwez', 'emeli sandé', 'jonny coffer', 'chris loco', 'naughty boy', 'rachet', 'mojam']",Nov 11 2016,72.0
We Got It from Here... Thank You 4 Your Service,A Tribe Called Quest,"['alternative hip hop', 'rap', 'jazz rap']","['epic', 'sony music']","['blair wells', 'a tribe called quest', 'q tip']",Nov 11 2016,91.0
The Madness of Many,Animals as Leaders,"['pop rock', 'progressive metal', 'djent']","['sumerian', 'sumerian records']",['animals as leaders'],Nov 11 2016,72.0
Without Warning,"21 Savage, Offset and Metro Boomin","['hip hop', 'trap', 'rap']","['motown', 'quality control music', 'epic', 'republic', 'slaughter gang', 'boominati worldwide', 'capitol']","['cubeatz', 'metro boomin', 'dre moon', 'southside', 'bijan amir']",Oct 31 2017,78.0
Abendrot,You Blew It!,"['pop rock', 'indie rock']","['triple crown records', 'triple crown']","['matt jordan', 'evan weiss', 'adam beck']",Nov 11 2016,80.0
The 1966 Live Recordings [Box Set],Bob Dylan,['folk'],"['columbia', 'sony music']",,Nov 11 2016,93.0
This House Is Not for Sale,Bon Jovi,"['pop rock', 'rock', 'hard rock']",['island'],"['jon bon jovi', 'john shanks']",Nov 4 2016,59.0
Lodestar,Shirley Collins,['folk'],['domino'],,Nov 4 2016,82.0
